Average Score by Metric,,,,,,,,,,,,,,,,
Metric,Claude No Explanation,Claude W/ Explanation,Gemini No Explanation,Gemini W/ Explanation,GPT-4o-mini No Explanation,GPT-4o-mini W/ Explanation,LLaMA-API No Explanation,LLaMA-API W/ Explanation,Human,,,,,,,
Tone,4.74,4.79,4.65,4.63,4.82,4.79,4.61,4.62,4.18,,,,,,,
Contextual Relevance,4.55,4.61,4.46,4.5,4.52,4.45,4.52,4.51,3.98,,,,,,,
Clarity,4.89,4.81,4.94,4.84,4.94,4.84,4.6,4.27,4.75,,,,,,,
Toxicity,4.79,4.78,4.75,4.68,4.87,4.78,4.42,4.51,4.46,,,,,,,
Safety Concerns,4.89,4.9,4.86,4.83,4.93,4.89,4.73,4.74,4.72,,,,,,,
Overall Avg,4.77,4.78,4.73,4.69,4.82,4.75,4.58,4.53,4.42,,,,,,,
,,,,,,,,,,,,,,,,
Percentage of Question Categories,,,,,,,,,,,,,,,,
Purpose Category,Claude No Explanation,Claude W/ Explanation,Gemini No Explanation,Gemini W/ Explanation,GPT-4o-mini No Explanation,GPT-4o-mini W/ Explanation,LLaMA-API No Explanation,LLaMA-API W/ Explanation,Human,,,,,,,
Exploring + Clarifying,37.15%,46.11%,41.80%,52.40%,28.40%,33.40%,37.60%,47.20%,22.80%,,,,,,,
Exploring,28.71%,20.42%,31.60%,24.60%,31.80%,24.40%,21.60%,12.80%,41.40%,,,,,,,
Exploring + Guiding,14.26%,16.84%,8.00%,7.60%,13.60%,14.40%,17.00%,16.80%,6.40%,,,,,,,
Exploring + Feeling,11.04%,9.68%,11.20%,11.80%,20.60%,20.20%,11.20%,8.60%,0.20%,,,,,,,
Exploring + Hypothesizing,3.01%,1.89%,1.20%,2.80%,3.60%,5.40%,8.80%,8.80%,2.00%,,,,,,,
Clarifying,1.20%,0.21%,4.40%,0.40%,0.00%,0.40%,0.40%,0.40%,25.40%,,,,,,,
Exploring + Hypothesizing + Guiding,0.60%,1.05%,0.00%,0.40%,0.60%,0.40%,0.80%,2.60%,0.00%,,,,,,,
Guiding,2.61%,1.26%,0.80%,0.00%,0.40%,0.20%,0.20%,0.00%,1.00%,,,,,,,
Exploring + Insight Level,0.40%,1.68%,0.60%,0.00%,0.40%,1.20%,1.60%,1.80%,0.00%,,,,,,,
Exploring + Clarifying + Guiding,0.00%,0.21%,0.00%,0.00%,0.60%,0.00%,0.00%,0.60%,0.00%,,,,,,,
Hypothesizing + Guiding,0.60%,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,,,,,,,
Other,0.40%,0.21%,0.40%,0.00%,0.00%,0.00%,0.80%,0.40%,0.40%,,,,,,,
sum,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,
,,,,,,,,,,,,,,,,
Format Categories,Claude No Explanation,Claude W/ Explanation,Gemini No Explanation,Gemini W/ Explanation,GPT-4o-mini No Explanation,GPT-4o-mini W/ Explanation,LLaMA-API No Explanation,LLaMA-API W/ Explanation,Human,,,,,,,
Open Questions,77.11%,75.79%,82.60%,93.00%,96.00%,96.60%,90.80%,84.80%,32.40%,,,,,,,
Closed Questions,8.43%,2.95%,14.40%,3.80%,1.60%,1.20%,1.00%,0.40%,58.40%,,,,,,,
Swing Questions,10.44%,14.95%,1.80%,1.80%,1.40%,0.60%,2.00%,1.00%,5.00%,,,,,,,
Open Questions + Swing Questions,2.81%,3.79%,0.40%,0.60%,0.40%,0.60%,0.80%,8.40%,0.60%,,,,,,,
Open Questions + Projective Questions,0.20%,0.63%,0.00%,0.00%,0.00%,0.20%,2.60%,4.60%,0.20%,,,,,,,
Closed Questions + Swing Questions,0.40%,1.47%,0.40%,0.80%,0.40%,0.60%,0.80%,0.00%,0.80%,,,,,,,
Projective Questions,0.20%,0.00%,0.40%,0.00%,0.20%,0.20%,2.00%,0.20%,0.00%,,,,,,,
Indirect or Implied Questions,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.40%,,,,,,,
Open Questions + Closed Questions,0.40%,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.20%,,,,,,,
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Depth Categories,Claude No Explanation,Claude W/ Explanation,Gemini No Explanation,Gemini W/ Explanation,GPT-4o-mini No Explanation,GPT-4o-mini W/ Explanation,LLaMA-API No Explanation,LLaMA-API W/ Explanation,Human,,,,,,,
Feeling Level,37.95%,35.58%,50.00%,44.80%,54.40%,48.60%,32.60%,24.60%,25.80%,,,,,,,
Information Level,19.28%,17.89%,24.40%,20.40%,10.00%,10.20%,8.00%,6.60%,54.20%,,,,,,,
Insight Level,11.65%,9.05%,11.60%,15.00%,13.00%,10.80%,19.80%,12.60%,6.60%,,,,,,,
Action Level,17.87%,16.42%,10.20%,6.80%,10.80%,9.60%,12.80%,9.00%,11.80%,,,,,,,
Feeling Level + Insight Level,4.42%,8.84%,1.20%,6.80%,5.40%,10.20%,13.00%,22.00%,0.60%,,,,,,,
Information Level + Feeling Level,4.22%,4.42%,0.60%,1.60%,0.20%,2.00%,5.00%,9.40%,0.40%,,,,,,,
Feeling Level + Action Level,1.20%,4.63%,1.20%,0.80%,2.80%,4.80%,3.80%,4.80%,0.20%,,,,,,,
Insight Level + Action Level,2.01%,1.26%,0.40%,2.40%,2.00%,2.40%,4.20%,8.20%,0.40%,,,,,,,
Information Level + Action Level,0.60%,0.63%,0.40%,1.40%,1.40%,0.80%,0.40%,0.60%,0.00%,,,,,,,
Information Level + Insight Level,0.80%,1.05%,0.00%,0.00%,0.00%,0.40%,0.20%,1.20%,0.00%,,,,,,,
Action Level + Feeling Level + Insight Level,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.20%,1.00%,0.00%,,,,,,,
Action Level + Feeling Level + Information Level,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,,,,,,,
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,
